ID,Name,Email,Phone,SSN,Transaction_Amount
701,Customer_701,customer_701@example.com,(555) 734-1861,278-47-9067,$1737.7
702,Customer_702,customer_702@example.com,(555) 179-8444,853-39-5909,$430.01
703,Customer_703,customer_703@example.com,(555) 499-6051,717-34-1874,$1259.47
704,Customer_704,customer_704@example.com,(555) 581-9188,681-71-1622,$2425.49
705,Customer_705,customer_705@example.com,(555) 899-3833,668-95-6179,$2466.06
701,Customer_701,customer_7015@example.com,(555) 734-1861,278-47-9067,$1737.7
702,Customer_702,customer_7026@example.com,(555) 179-8444,853-39-5909,$430.01
703,Customer_703,customer_7037@example.com,(555) 499-6051,717-34-1874,$1259.47
704,Customer_704,customer_7048@example.com,(555) 581-9188,681-71-1622,$2425.49
705,Customer_705,customer_7059@example.com,(555) 899-3833,668-95-6179,$2466.06
701,Customer_701,customer_70110@example.com,(555) 734-1861,278-47-9067,$1737.7
702,Customer_702,customer_70211@example.com,(555) 179-8444,853-39-5909,$430.01
703,Customer_703,customer_70312@example.com,(555) 499-6051,717-34-1874,$1259.47
704,Customer_704,customer_70413@example.com,(555) 581-9188,681-71-1622,$2425.49
705,Customer_705,customer_70514@example.com,(555) 899-3833,668-95-6179,$2466.06
701,Customer_701,customer_70115@example.com,(555) 734-1861,278-47-9067,$1737.7
702,Customer_702,customer_70216@example.com,(555) 179-8444,853-39-5909,$430.01
703,Customer_703,customer_70317@example.com,(555) 499-6051,717-34-1874,$1259.47
704,Customer_704,customer_70418@example.com,(555) 581-9188,681-71-1622,$2425.49
705,Customer_705,customer_70519@example.com,(555) 899-3833,668-95-6179,$2466.06
701,Customer_701,customer_70120@example.com,(555) 734-1861,278-47-9067,$1737.7
702,Customer_702,customer_70221@example.com,(555) 179-8444,853-39-5909,$430.01
703,Customer_703,customer_70322@example.com,(555) 499-6051,717-34-1874,$1259.47
704,Customer_704,customer_70423@example.com,(555) 581-9188,681-71-1622,$2425.49
705,Customer_705,customer_70524@example.com,(555) 899-3833,668-95-6179,$2466.06
701,Customer_701,customer_70125@example.com,(555) 734-1861,278-47-9067,$1737.7
702,Customer_702,customer_70226@example.com,(555) 179-8444,853-39-5909,$430.01
703,Customer_703,customer_70327@example.com,(555) 499-6051,717-34-1874,$1259.47
704,Customer_704,customer_70428@example.com,(555) 581-9188,681-71-1622,$2425.49
705,Customer_705,customer_70529@example.com,(555) 899-3833,668-95-6179,$2466.06
701,Customer_701,customer_70130@example.com,(555) 734-1861,278-47-9067,$1737.7
702,Customer_702,customer_70231@example.com,(555) 179-8444,853-39-5909,$430.01
703,Customer_703,customer_70332@example.com,(555) 499-6051,717-34-1874,$1259.47
704,Customer_704,customer_70433@example.com,(555) 581-9188,681-71-1622,$2425.49
705,Customer_705,customer_70534@example.com,(555) 899-3833,668-95-6179,$2466.06
701,Customer_701,customer_70135@example.com,(555) 734-1861,278-47-9067,$1737.7
702,Customer_702,customer_70236@example.com,(555) 179-8444,853-39-5909,$430.01
703,Customer_703,customer_70337@example.com,(555) 499-6051,717-34-1874,$1259.47
704,Customer_704,customer_70438@example.com,(555) 581-9188,681-71-1622,$2425.49
705,Customer_705,customer_70539@example.com,(555) 899-3833,668-95-6179,$2466.06
701,Customer_701,customer_70140@example.com,(555) 734-1861,278-47-9067,$1737.7
702,Customer_702,customer_70241@example.com,(555) 179-8444,853-39-5909,$430.01
703,Customer_703,customer_70342@example.com,(555) 499-6051,717-34-1874,$1259.47
704,Customer_704,customer_70443@example.com,(555) 581-9188,681-71-1622,$2425.49
705,Customer_705,customer_70544@example.com,(555) 899-3833,668-95-6179,$2466.06
701,Customer_701,customer_70145@example.com,(555) 734-1861,278-47-9067,$1737.7
702,Customer_702,customer_70246@example.com,(555) 179-8444,853-39-5909,$430.01
703,Customer_703,customer_70347@example.com,(555) 499-6051,717-34-1874,$1259.47
704,Customer_704,customer_70448@example.com,(555) 581-9188,681-71-1622,$2425.49
705,Customer_705,customer_70549@example.com,(555) 899-3833,668-95-6179,$2466.06
701,Customer_701,customer_70150@example.com,(555) 734-1861,278-47-9067,$1737.7
702,Customer_702,customer_70251@example.com,(555) 179-8444,853-39-5909,$430.01
703,Customer_703,customer_70352@example.com,(555) 499-6051,717-34-1874,$1259.47
704,Customer_704,customer_70453@example.com,(555) 581-9188,681-71-1622,$2425.49
705,Customer_705,customer_70554@example.com,(555) 899-3833,668-95-6179,$2466.06
701,Customer_701,customer_70155@example.com,(555) 734-1861,278-47-9067,$1737.7
702,Customer_702,customer_70256@example.com,(555) 179-8444,853-39-5909,$430.01
703,Customer_703,customer_70357@example.com,(555) 499-6051,717-34-1874,$1259.47
