OrderID,CustomerIP,CreditCard,PurchaseAmount,Gateway
ORD-1,Data_528,Data_616,386947.79,Data_441
ORD-2,Data_484,Data_377,49458.49,Data_170
ORD-3,Data_436,Data_127,31378.96,Data_555
ORD-4,Data_368,Data_597,41777.04,Data_808
ORD-5,Data_441,Data_425,43917.52,Data_955
ORD-6,Data_829,Data_652,311691.58,Data_796
ORD-7,Data_324,Data_669,126094.69,Data_563
ORD-8,Data_315,Data_241,47328.22,Data_740
ORD-9,Data_909,Data_782,34702.09,Data_374
ORD-10,Data_996,Data_795,102716.95,Data_395
ORD-11,Data_904,Data_192,199654.63,Data_594
ORD-12,Data_901,Data_520,147366.28,Data_859
ORD-13,Data_930,Data_534,32300.81,Data_247
ORD-14,Data_627,Data_733,40612.53,Data_512
ORD-15,Data_881,Data_292,87082.51,Data_680
ORD-16,Data_466,Data_947,281325.96,Data_635
ORD-17,Data_852,Data_729,104007.16,Data_650
ORD-18,Data_137,Data_783,43325.07,Data_183
ORD-19,Data_287,Data_813,21064.63,Data_772
ORD-20,Data_806,Data_338,65097.89,Data_383
ORD-21,Data_608,Data_550,92584.02,Data_417
ORD-22,Data_909,Data_240,40288.42,Data_100
ORD-23,Data_323,Data_741,94480.02,Data_181
ORD-24,Data_533,Data_677,39491.11,Data_706
ORD-25,Data_843,Data_362,43298.44,Data_215
ORD-26,Data_349,Data_929,379104.04,Data_968
ORD-27,Data_348,Data_164,38349.61,Data_272
ORD-28,Data_782,Data_840,29852.9,Data_458
ORD-29,Data_343,Data_988,43610.43,Data_411
ORD-30,Data_654,Data_327,47569.18,Data_873
ORD-31,Data_122,Data_608,243028.8,Data_738
ORD-32,Data_720,Data_310,40670.77,Data_883
ORD-33,Data_278,Data_704,68943.94,Data_933
ORD-34,Data_691,Data_715,35290.7,Data_752
ORD-35,Data_675,Data_733,34245.19,Data_212
ORD-36,Data_807,Data_823,106652.75,Data_535
ORD-37,Data_109,Data_448,63760.8,Data_301
ORD-38,Data_427,Data_531,107425.85,Data_279
ORD-39,Data_428,Data_203,38124.44,Data_895
ORD-40,Data_123,Data_161,62125.54,Data_442
ORD-41,Data_464,Data_767,218129.32,Data_266
ORD-42,Data_771,Data_399,45369.33,Data_234
ORD-43,Data_748,Data_456,108275.34,Data_881
ORD-44,Data_366,Data_794,44791.11,Data_950
ORD-45,Data_371,Data_734,80504.14,Data_830
ORD-46,Data_981,Data_973,297106.17,Data_707
ORD-47,Data_308,Data_915,133764.55,Data_567
ORD-48,Data_259,Data_782,37181.95,Data_747
ORD-49,Data_142,Data_257,20539.21,Data_263
ORD-50,Data_155,Data_459,30497.58,Data_962
ORD-51,Data_255,Data_863,337403.21,Data_985
ORD-52,Data_418,Data_259,139441.93,Data_347
ORD-53,Data_735,Data_150,78634.1,Data_941
ORD-54,Data_880,Data_821,44395.01,Data_803
ORD-55,Data_554,Data_656,24740.58,Data_103
ORD-56,Data_227,Data_136,374640.19,Data_813
ORD-57,Data_468,Data_334,48315.27,Data_228
ORD-58,Data_565,Data_911,101692.13,Data_982
ORD-59,Data_189,Data_609,18437.96,Data_178
ORD-60,Data_461,Data_414,108339.7,Data_212
ORD-61,Data_848,Data_850,374706.12,Data_572
ORD-62,Data_717,Data_615,131072.59,Data_748
ORD-63,Data_691,Data_351,89319.24,Data_469
ORD-64,Data_332,Data_715,24421.68,Data_867
ORD-65,Data_927,Data_765,47300.84,Data_264
ORD-66,Data_877,Data_701,157575.39,Data_392
ORD-67,Data_667,Data_927,87012.72,Data_185
ORD-68,Data_746,Data_573,98284.65,Data_519
ORD-69,Data_106,Data_898,45051.55,Data_570
ORD-70,Data_682,Data_294,75107.25,Data_761
ORD-71,Data_914,Data_936,136151.01,Data_559
ORD-72,Data_226,Data_834,85375.81,Data_341
ORD-73,Data_611,Data_727,99196.94,Data_742
ORD-74,Data_950,Data_891,18730.68,Data_271
ORD-75,Data_630,Data_221,63894.26,Data_920
ORD-76,Data_988,Data_827,405365.06,Data_626
ORD-77,Data_695,Data_969,95866.56,Data_968
ORD-78,Data_857,Data_943,27178.78,Data_596
ORD-79,Data_303,Data_802,35522.84,Data_782
ORD-80,Data_461,Data_701,107406.48,Data_212
ORD-81,Data_433,Data_259,390003.73,Data_386
ORD-82,Data_526,Data_979,112348.99,Data_503
ORD-83,Data_925,Data_665,98974.82,Data_898
ORD-84,Data_185,Data_975,9664.75,Data_170
ORD-85,Data_588,Data_488,48620.81,Data_810
ORD-86,Data_337,Data_689,398870.55,Data_358
ORD-87,Data_524,Data_994,55379.74,Data_701
ORD-88,Data_591,Data_603,62606.02,Data_673
ORD-89,Data_575,Data_256,29075.63,Data_797
ORD-90,Data_210,Data_392,25745.37,Data_408
ORD-91,Data_752,Data_655,264249.5,Data_883
ORD-92,Data_847,Data_160,116308.25,Data_679
ORD-93,Data_110,Data_901,106896.81,Data_617
ORD-94,Data_533,Data_489,14287.92,Data_965
ORD-95,Data_547,Data_700,76986.57,Data_977
ORD-96,Data_984,Data_116,172556.71,Data_815
ORD-97,Data_798,Data_651,73910.36,Data_707
ORD-98,Data_265,Data_177,99197.17,Data_648
ORD-99,Data_888,Data_303,17727.7,Data_762
ORD-100,Data_604,Data_456,37660.94,Data_671
