ID,Name,Email,Phone,SSN,Transaction_Amount
263,Customer_263,REDACTED,(555) 526-7012,696-55-8065,$2607.56
239,Customer_239,REDACTED,(555) 277-7658,663-83-6921,$2504.49
259,Customer_259,REDACTED,(555) 718-1873,724-31-8851,$469.95
290,Customer_290,REDACTED,(555) 871-3156,944-95-5165,$2107.34
289,Customer_289,REDACTED,(555) 157-2668,140-29-6291,$1369.13
254,Customer_254,REDACTED,(555) 733-1278,805-34-6616,$3335.63
202,Customer_202,REDACTED,(555) 981-1485,403-15-6096,$3136.36
292,Customer_292,REDACTED,(555) 949-9247,691-42-7778,$4693.61
296,Customer_296,REDACTED,(555) 134-8301,792-86-1370,$1736.33
280,Customer_280,REDACTED,(555) 160-6605,457-62-1145,$1721.14
222,Customer_222,REDACTED,(555) 976-7769,323-92-5887,$2039.24
276,Customer_276,REDACTED,(555) 754-1338,839-71-5726,$839.68
258,Customer_258,REDACTED,(555) 981-9268,865-40-8312,$3949.29
246,Customer_246,REDACTED,(555) 502-7131,807-54-9380,$4640.19
234,Customer_234,REDACTED,(555) 167-7664,517-51-5020,$1438.06
241,Customer_241,REDACTED,(555) 607-3121,643-30-3753,$2630.69
299,Customer_299,REDACTED,(555) 867-7227,639-92-8442,$1738.11
271,Customer_271,REDACTED,(555) 254-3370,350-74-8381,$1177.17
232,Customer_232,REDACTED,(555) 258-4409,195-41-9462,$420.22
273,Customer_273,REDACTED,(555) 195-5640,352-71-1269,$4077.92
228,Customer_228,REDACTED,(555) 548-3349,151-82-4902,$2461.53
278,Customer_278,REDACTED,(555) 871-5106,467-60-4724,$1112.45
242,Customer_242,REDACTED,(555) 491-7249,668-49-7306,$2431.57
235,Customer_235,REDACTED,(555) 455-5199,739-73-9673,$1352.22
252,Customer_252,REDACTED,(555) 911-1218,970-34-3803,$2600.68
285,Customer_285,REDACTED,(555) 765-4330,913-62-2896,$3020.01
245,Customer_245,REDACTED,(555) 318-1858,194-49-8477,$468.64
286,Customer_286,REDACTED,(555) 855-1591,595-75-3102,$571.72
256,Customer_256,REDACTED,(555) 900-5037,445-73-6596,$1353.96
210,Customer_210,REDACTED,(555) 898-1600,850-25-7600,$2842.68
300,Customer_300,REDACTED,(555) 917-7020,770-57-2555,$2409.38
219,Customer_219,REDACTED,(555) 199-7341,484-64-6739,$3703.94
223,Customer_223,REDACTED,(555) 892-7872,208-64-5721,$2356.0
206,Customer_206,REDACTED,(555) 450-9131,914-31-4914,$3725.46
270,Customer_270,REDACTED,(555) 489-9537,286-35-8437,$502.11
284,Customer_284,REDACTED,(555) 899-5894,127-80-5503,$2349.15
288,Customer_288,REDACTED,(555) 747-7501,294-45-9684,$3238.63
213,Customer_213,REDACTED,(555) 766-5420,952-18-9363,$569.05
230,Customer_230,REDACTED,(555) 589-5998,376-16-9826,$1857.76
216,Customer_216,REDACTED,(555) 191-1171,807-42-8035,$3929.97
298,Customer_298,REDACTED,(555) 218-2429,896-88-8708,$1064.79
261,Customer_261,REDACTED,(555) 207-6004,461-37-6224,$3782.65
211,Customer_211,REDACTED,(555) 446-9518,988-57-3764,$3660.73
272,Customer_272,REDACTED,(555) 481-1224,635-98-6349,$4984.28
281,Customer_281,REDACTED,(555) 844-7759,410-83-6005,$1438.59
237,Customer_237,REDACTED,(555) 805-7658,979-95-6767,$1223.62
282,Customer_282,REDACTED,(555) 289-3294,215-13-5710,$3621.83
215,Customer_215,REDACTED,(555) 490-4742,695-60-3228,$661.82
240,Customer_240,REDACTED,(555) 232-8789,824-90-7171,$4962.74
255,Customer_255,REDACTED,(555) 804-7900,459-95-6514,$4894.56
262,Customer_262,REDACTED,(555) 299-5599,193-89-2056,$4859.95
203,Customer_203,REDACTED,(555) 249-4710,260-59-2868,$3646.94
250,Customer_250,REDACTED,(555) 998-9605,354-34-7764,$2514.73
279,Customer_279,REDACTED,(555) 435-2384,549-87-9551,$3035.07
208,Customer_208,REDACTED,(555) 305-9071,471-97-7711,$30.56
224,Customer_224,REDACTED,(555) 477-7819,156-51-1250,$2848.08
294,Customer_294,REDACTED,(555) 841-3457,381-97-6361,$4174.19
257,Customer_257,REDACTED,(555) 486-9992,949-91-2100,$4342.0
214,Customer_214,REDACTED,(555) 746-7820,872-28-9884,$1545.7
277,Customer_277,REDACTED,(555) 494-2767,175-91-6293,$2241.43
231,Customer_231,REDACTED,(555) 144-7267,802-59-3419,$3170.43
293,Customer_293,REDACTED,(555) 445-6029,291-28-9950,$4302.48
295,Customer_295,REDACTED,(555) 844-1490,746-84-7255,$2389.06
266,Customer_266,REDACTED,(555) 955-3274,120-31-7830,$2981.84
249,Customer_249,REDACTED,(555) 125-7024,928-75-6003,$4326.18
275,Customer_275,REDACTED,(555) 522-9106,401-16-3168,$4666.99
267,Customer_267,REDACTED,(555) 180-2971,222-93-2719,$3820.41
204,Customer_204,REDACTED,(555) 644-7256,266-58-9912,$799.16
217,Customer_217,REDACTED,(555) 165-9570,316-21-8533,$1581.21
244,Customer_244,REDACTED,(555) 876-9895,375-36-4197,$2067.77
269,Customer_269,REDACTED,(555) 914-9844,540-88-8775,$1031.07
233,Customer_233,REDACTED,(555) 633-8186,405-24-4361,$4813.97
229,Customer_229,REDACTED,(555) 247-6774,958-23-7241,$3639.03
287,Customer_287,REDACTED,(555) 560-9205,941-21-5528,$10.36
268,Customer_268,REDACTED,(555) 862-7810,224-12-9620,$2236.44
227,Customer_227,REDACTED,(555) 892-1137,775-21-7216,$727.29
243,Customer_243,REDACTED,(555) 264-4418,633-64-1460,$2774.0
248,Customer_248,REDACTED,(555) 154-2610,311-16-8722,$4909.23
221,Customer_221,REDACTED,(555) 335-5080,629-59-1356,$4868.62
253,Customer_253,REDACTED,(555) 841-8340,811-82-5372,$3699.19
218,Customer_218,REDACTED,(555) 257-6009,133-38-2241,$3092.13
297,Customer_297,REDACTED,(555) 602-2609,715-55-3457,$2789.04
251,Customer_251,REDACTED,(555) 758-7190,427-48-7907,$1680.69
205,Customer_205,REDACTED,(555) 172-7417,199-55-6964,$377.65
264,Customer_264,REDACTED,(555) 387-7048,481-71-4485,$1959.1
225,Customer_225,REDACTED,(555) 274-5207,936-97-8936,$35.07
209,Customer_209,REDACTED,(555) 354-9654,174-31-5812,$1223.8
260,Customer_260,REDACTED,(555) 702-6546,894-62-2925,$4143.78
291,Customer_291,REDACTED,(555) 580-3253,977-59-1745,$2395.45
207,Customer_207,REDACTED,(555) 346-5014,231-12-8196,$1742.24
238,Customer_238,REDACTED,(555) 921-5806,798-30-6842,$1544.97
283,Customer_283,REDACTED,(555) 313-6794,588-89-8323,$4953.06
220,Customer_220,REDACTED,(555) 991-7094,858-47-5727,$1979.5
226,Customer_226,REDACTED,(555) 213-8774,544-74-7522,$3228.07
201,Customer_201,REDACTED,(555) 799-9653,935-75-6130,$1685.66
212,Customer_212,REDACTED,(555) 441-9477,115-54-1678,$3980.14
265,Customer_265,REDACTED,(555) 670-3325,918-90-7161,$1912.5
274,Customer_274,REDACTED,(555) 523-2999,328-58-5677,$4650.44
247,Customer_247,REDACTED,(555) 449-6929,307-19-1821,$2112.71
236,Customer_236,REDACTED,(555) 825-1477,451-38-1954,$333.37
