CompanyName,CEO,WorkPhone,AnnualRevenue
corporation Ltd,James Davis,1-589-490-9116,₹1759600000
corporation Corp,Richard Johnson,1-453-828-1107,₹2846900000
corporation Ltd,John Bezos,1-821-515-1979,₹3826300000
corporation Corp,Elizabeth Garcia,1-939-434-6001,₹3120800000
corporation Inc,Mary Martin,1-239-455-4879,₹473100000
corporation Corp,Susan Jackson,1-431-432-3720,₹2938200000
corporation ,James Dimon,1-281-473-4691,₹2050100000
corporation LLC,James Lopez,1-856-538-3294,₹2456800000
corporation Inc,Jessica Lopez,1-277-638-7206,₹1394400000
corporation Corp,Elizabeth Garcia,1-813-302-3914,₹2099900000
corporation Corp,Michael Smith,1-248-818-5682,₹1560400000
corporation ,John Smith,1-962-739-9806,₹871500000
corporation Ltd,Jeff Thomas,1-770-657-7317,₹2664300000
corporation LLC,Jessica Dimon,1-683-754-3125,₹1651700000
corporation Ltd,Jeff Wilson,1-699-704-3491,₹3095900000
corporation Inc,Richard Dimon,1-319-372-4260,₹1427600000
corporation Corp,David Smith,1-388-593-8935,₹3984000000
corporation Corp,Jeff Miller,1-596-912-9688,₹2307400000
corporation Corp,Tim Brown,1-535-212-1690,₹439900000
corporation ,James Hernandez,1-518-350-8885,₹547800000
corporation Inc,David Davis,1-272-343-4530,₹3237000000
corporation Corp,Jeff Johnson,1-954-575-8335,₹1784500000
corporation Inc,Karen Miller,1-979-536-9963,₹3361500000
corporation LLC,Susan Gonzalez,1-353-486-9280,₹1012600000
corporation Inc,Susan Dimon,1-895-829-1448,₹3552400000
corporation ,Robert Bezos,1-230-491-5777,₹1079000000
corporation LLC,John Jones,1-682-540-3588,₹2116500000
corporation Corp,Charles Gonzalez,1-864-663-4946,₹572700000
corporation Ltd,Joseph Brown,1-799-630-1635,₹1767900000
corporation ,Patricia Jackson,1-510-394-9626,₹1892400000
corporation Corp,Charles Davis,1-452-647-3176,₹830000000
corporation ,Thomas Jackson,1-675-859-1144,₹3693500000
corporation Ltd,Joseph Dimon,1-473-999-5681,₹780200000
corporation LLC,Linda Smith,1-810-685-6648,₹464800000
corporation LLC,Mary Martin,1-827-395-9933,₹3809700000
corporation ,Barbara Garcia,1-399-753-7571,₹2855200000
corporation ,Jessica Moore,1-242-229-7266,₹1975400000
corporation Corp,John Brown,1-669-885-1135,₹2382100000
corporation Inc,David Thomas,1-878-895-3843,₹2631100000
corporation ,Karen Williams,1-233-276-9623,₹3012900000
corporation Ltd,Karen Thomas,1-691-553-8527,₹3768200000
corporation LLC,Jeff Bezos,1-876-441-5272,₹929600000
corporation Ltd,Linda Thomas,1-972-855-4733,₹2573000000
corporation Ltd,Elizabeth Jackson,1-215-927-5724,₹2108200000
corporation Corp,Mary Miller,1-900-975-6238,₹3701800000
