TicketID,CustomerEmail,IssueDescription,AssignedTo
TCK-16,mary.bezos764@business.org,Data_676,Data_929
TCK-60,william.jackson887@enterprise.com,Data_893,Data_547
TCK-32,jamie.dimon848@enterprise.com,Data_549,Data_214
TCK-29,david.martinez319@startup.io,Data_275,Data_729
TCK-72,jennifer.davis475@startup.io,Data_802,Data_522
TCK-9,jamie.smith993@global.net,Data_207,Data_513
TCK-17,joseph.wilson201@global.net,Data_374,Data_518
TCK-46,sarah.hernandez72@startup.io,Data_209,Data_641
TCK-82,sarah.martinez53@company.net,Data_641,Data_484
TCK-56,karen.williams632@company.net,Data_737,Data_278
TCK-65,mary.moore952@enterprise.com,Data_492,Data_397
TCK-69,william.lopez838@global.net,Data_432,Data_196
TCK-30,jennifer.rodriguez575@tech.co,Data_600,Data_821
TCK-100,patricia.johnson160@startup.io,Data_457,Data_145
TCK-85,susan.dimon277@global.net,Data_671,Data_882
TCK-74,michael.dimon115@business.org,Data_720,Data_548
TCK-37,michael.bezos929@tech.co,Data_915,Data_460
TCK-15,karen.williams541@business.org,Data_642,Data_821
TCK-61,patricia.smith265@business.org,Data_460,Data_478
TCK-21,jessica.garcia841@startup.io,Data_455,Data_342
TCK-86,william.bezos10@company.net,Data_417,Data_604
TCK-53,jennifer.moore603@global.net,Data_220,Data_497
TCK-76,karen.martinez941@global.net,Data_253,Data_233
TCK-99,elizabeth.brown963@company.net,Data_466,Data_969
TCK-48,jamie.wilson49@global.net,Data_924,Data_147
TCK-96,jennifer.miller576@company.net,Data_814,Data_894
TCK-19,joseph.martinez409@tech.co,Data_454,Data_615
TCK-88,mary.hernandez505@global.net,Data_829,Data_442
TCK-59,william.anderson631@tech.co,Data_735,Data_599
TCK-44,david.thomas75@startup.io,Data_590,Data_812
TCK-45,david.hernandez113@example.com,Data_697,Data_634
TCK-89,michael.wilson426@tech.co,Data_415,Data_487
TCK-20,thomas.smith735@business.org,Data_468,Data_370
TCK-57,elon.gonzalez651@tech.co,Data_553,Data_399
TCK-63,jessica.dimon834@startup.io,Data_844,Data_747
TCK-81,charles.musk598@business.org,Data_927,Data_382
TCK-1,barbara.smith157@startup.io,Data_848,Data_840
TCK-47,susan.wilson591@tech.co,Data_878,Data_964
TCK-55,joseph.davis311@tech.co,Data_252,Data_765
TCK-83,jamie.musk996@company.net,Data_125,Data_260
TCK-84,jeff.garcia646@company.net,Data_822,Data_179
TCK-4,charles.moore974@company.net,Data_710,Data_179
TCK-79,jamie.dimon326@tech.co,Data_279,Data_403
TCK-70,jennifer.gonzalez372@tech.co,Data_811,Data_132
TCK-22,tim.martinez531@enterprise.com,Data_209,Data_563
TCK-23,joseph.thomas148@global.net,Data_820,Data_386
TCK-50,tim.martinez910@example.com,Data_476,Data_174
TCK-38,elizabeth.thomas165@startup.io,Data_504,Data_646
TCK-5,james.williams668@enterprise.com,Data_972,Data_775
TCK-14,karen.jones337@enterprise.com,Data_934,Data_312
TCK-35,patricia.garcia933@example.com,Data_622,Data_605
TCK-90,susan.garcia839@example.com,Data_446,Data_150
TCK-67,patricia.smith285@business.org,Data_946,Data_793
TCK-40,richard.smith560@global.net,Data_667,Data_235
TCK-12,jeff.musk513@tech.co,Data_468,Data_521
TCK-94,joseph.smith419@tech.co,Data_574,Data_338
TCK-25,barbara.jones372@business.org,Data_735,Data_181
TCK-33,karen.rodriguez617@enterprise.com,Data_826,Data_871
TCK-51,richard.cook334@example.com,Data_739,Data_288
TCK-87,jeff.martinez472@example.com,Data_465,Data_654
TCK-11,barbara.moore70@startup.io,Data_525,Data_597
TCK-62,mary.jones508@global.net,Data_554,Data_781
TCK-24,richard.dimon821@business.org,Data_388,Data_416
TCK-93,linda.davis932@global.net,Data_437,Data_552
TCK-28,barbara.rodriguez122@global.net,Data_997,Data_848
TCK-8,william.smith442@tech.co,Data_128,Data_185
TCK-6,michael.musk319@enterprise.com,Data_474,Data_347
TCK-71,sarah.gonzalez882@business.org,Data_247,Data_603
TCK-98,james.davis356@company.net,Data_631,Data_925
TCK-92,tim.gonzalez291@global.net,Data_435,Data_411
