TicketID,CustomerEmail,IssueDescription,AssignedTo
TCK,james.taylor161@global.net,Data_291,Data_776
TCK,joseph.martin568@startup.io,Data_371,Data_633
TCK,joseph.miller987@example.com,Data_137,Data_181
TCK,linda.martin414@business.org,Data_905,Data_851
TCK,susan.anderson540@global.net,Data_262,Data_614
TCK,sarah.miller861@business.org,Data_881,Data_977
TCK,linda.davis926@startup.io,Data_785,Data_529
TCK,sarah.thomas140@enterprise.com,Data_987,Data_193
TCK,robert.bezos498@enterprise.com,Data_984,Data_892
TCK,richard.bezos85@example.com,Data_554,Data_472
TCK,karen.thomas944@example.com,Data_563,Data_936
TCK,mary.davis587@business.org,Data_780,Data_831
TCK,michael.jackson365@tech.co,Data_342,Data_362
TCK,jamie.garcia640@startup.io,Data_559,Data_254
TCK,david.miller51@tech.co,Data_264,Data_861
TCK,michael.moore865@enterprise.com,Data_455,Data_243
TCK,tim.miller108@global.net,Data_245,Data_233
TCK,joseph.lopez911@company.net,Data_653,Data_529
TCK,john.cook2@company.net,Data_246,Data_267
TCK,tim.johnson660@enterprise.com,Data_454,Data_704
TCK,john.thomas102@global.net,Data_796,Data_637
TCK,barbara.jones420@business.org,Data_197,Data_664
TCK,michael.smith663@tech.co,Data_944,Data_489
TCK,karen.brown200@startup.io,Data_729,Data_897
TCK,michael.wilson919@global.net,Data_170,Data_650
TCK,karen.johnson461@global.net,Data_582,Data_259
TCK,michael.musk447@startup.io,Data_332,Data_827
TCK,joseph.hernandez623@global.net,Data_981,Data_606
TCK,tim.musk582@global.net,Data_788,Data_366
TCK,jeff.dimon507@startup.io,Data_347,Data_620
TCK,michael.musk105@business.org,Data_261,Data_839
TCK,joseph.davis579@startup.io,Data_329,Data_351
TCK,richard.smith119@enterprise.com,Data_375,Data_521
TCK,richard.jones449@enterprise.com,Data_683,Data_689
TCK,joseph.taylor168@business.org,Data_792,Data_771
TCK,tim.musk846@startup.io,Data_387,Data_150
TCK,thomas.anderson872@example.com,Data_743,Data_878
TCK,tim.lopez141@enterprise.com,Data_139,Data_245
TCK,joseph.davis75@enterprise.com,Data_338,Data_114
TCK,thomas.hernandez743@company.net,Data_806,Data_498
TCK,william.taylor969@tech.co,Data_321,Data_915
TCK,jessica.jones985@business.org,Data_929,Data_622
TCK,karen.jackson78@startup.io,Data_276,Data_324
TCK,elon.jackson139@example.com,Data_263,Data_840
TCK,elizabeth.rodriguez97@example.com,Data_341,Data_873
TCK,patricia.taylor589@startup.io,Data_235,Data_509
TCK,elon.taylor327@tech.co,Data_687,Data_202
TCK,elon.dimon371@global.net,Data_400,Data_299
TCK,elon.cook210@business.org,Data_411,Data_750
TCK,richard.smith816@startup.io,Data_972,Data_366
TCK,william.martinez934@global.net,Data_313,Data_559
TCK,jennifer.taylor139@tech.co,Data_156,Data_407
TCK,jamie.cook806@company.net,Data_931,Data_138
TCK,robert.hernandez740@startup.io,Data_141,Data_942
TCK,john.thomas914@global.net,Data_505,Data_735
TCK,elizabeth.wilson766@enterprise.com,Data_498,Data_333
TCK,john.garcia624@enterprise.com,Data_189,Data_769
TCK,robert.johnson114@tech.co,Data_348,Data_934
TCK,susan.hernandez165@global.net,Data_442,Data_381
TCK,jennifer.miller760@startup.io,Data_491,Data_667
TCK,jeff.thomas59@startup.io,Data_559,Data_954
TCK,mary.hernandez914@startup.io,Data_417,Data_750
TCK,jamie.davis729@example.com,Data_762,Data_946
TCK,sarah.brown529@example.com,Data_729,Data_352
TCK,thomas.davis201@startup.io,Data_903,Data_791
TCK,tim.jones918@tech.co,Data_227,Data_514
TCK,joseph.davis789@business.org,Data_419,Data_800
TCK,robert.garcia491@example.com,Data_922,Data_915
TCK,michael.anderson531@global.net,Data_473,Data_206
TCK,elon.musk612@example.com,Data_786,Data_930
TCK,charles.miller177@tech.co,Data_992,Data_144
TCK,david.johnson414@startup.io,Data_429,Data_249
TCK,tim.miller471@enterprise.com,Data_870,Data_229
TCK,jessica.martin57@example.com,Data_749,Data_354
TCK,david.williams44@enterprise.com,Data_107,Data_526
TCK,karen.martinez442@business.org,Data_215,Data_579
TCK,james.smith355@business.org,Data_328,Data_437
TCK,joseph.martinez60@example.com,Data_955,Data_614
TCK,karen.davis388@startup.io,Data_624,Data_144
TCK,elon.brown186@tech.co,Data_219,Data_376
TCK,joseph.smith4@enterprise.com,Data_783,Data_324
TCK,thomas.rodriguez387@global.net,Data_380,Data_791
TCK,elizabeth.brown433@example.com,Data_968,Data_843
TCK,michael.taylor328@global.net,Data_894,Data_115
TCK,david.dimon90@global.net,Data_942,Data_422
TCK,patricia.brown634@example.com,Data_618,Data_678
TCK,susan.hernandez346@example.com,Data_974,Data_659
TCK,jennifer.jackson567@company.net,Data_461,Data_810
TCK,thomas.jackson15@business.org,Data_873,Data_503
TCK,richard.miller302@global.net,Data_911,Data_907
TCK,jessica.gonzalez282@global.net,Data_669,Data_945
TCK,john.dimon542@business.org,Data_231,Data_989
TCK,thomas.bezos557@global.net,Data_910,Data_867
TCK,elizabeth.davis143@startup.io,Data_273,Data_819
TCK,joseph.brown455@enterprise.com,Data_715,Data_452
TCK,charles.martin604@enterprise.com,Data_136,Data_636
TCK,mary.garcia677@tech.co,Data_780,Data_732
TCK,robert.rodriguez523@global.net,Data_192,Data_363
TCK,thomas.martin312@global.net,Data_840,Data_765
TCK,sarah.lopez942@business.org,Data_407,Data_643
