StudentID,Course,Grade,ParentPhone,StudentSSN
STU-1,Data_111,Data_656,1-274-610-5736,Data_261
STU-2,Data_104,Data_549,1-473-873-9232,Data_488
STU-3,Data_132,Data_986,1-583-356-9627,Data_118
STU-4,Data_890,Data_381,1-412-786-3514,Data_804
STU-5,Data_103,Data_178,1-530-713-3989,Data_128
STU-6,Data_259,Data_698,1-646-591-8175,Data_304
STU-7,Data_484,Data_187,1-990-374-1001,Data_759
STU-8,Data_119,Data_691,1-707-338-5634,Data_525
STU-9,Data_404,Data_552,1-833-916-7746,Data_851
STU-10,Data_400,Data_877,1-215-390-7819,Data_467
STU-11,Data_521,Data_558,1-319-928-4638,Data_878
STU-12,Data_345,Data_183,1-944-629-7802,Data_106
STU-13,Data_809,Data_893,1-875-381-1006,Data_975
STU-14,Data_972,Data_732,1-770-270-3402,Data_231
STU-15,Data_559,Data_906,1-202-638-5147,Data_428
STU-16,Data_953,Data_741,1-720-661-6490,Data_194
STU-17,Data_694,Data_572,1-939-367-9892,Data_280
STU-18,Data_988,Data_209,1-687-766-3716,Data_817
STU-19,Data_605,Data_657,1-476-647-1578,Data_374
STU-20,Data_505,Data_897,1-591-961-1069,Data_518
STU-21,Data_792,Data_588,1-468-922-8620,Data_733
STU-22,Data_626,Data_714,1-884-603-2424,Data_645
STU-23,Data_399,Data_496,1-994-564-2340,Data_295
STU-24,Data_658,Data_931,1-402-784-3930,Data_719
STU-25,Data_576,Data_710,1-786-814-3606,Data_319
STU-26,Data_305,Data_273,1-325-531-6080,Data_786
STU-27,Data_222,Data_514,1-808-500-8152,Data_429
STU-28,Data_701,Data_738,1-240-541-2762,Data_294
STU-29,Data_867,Data_877,1-833-596-2409,Data_637
STU-30,Data_859,Data_522,1-302-426-3434,Data_805
STU-31,Data_906,Data_634,1-825-862-3237,Data_989
STU-32,Data_129,Data_885,1-546-259-8317,Data_643
STU-33,Data_621,Data_208,1-840-538-6716,Data_371
STU-34,Data_454,Data_976,1-461-878-8192,Data_435
STU-35,Data_325,Data_356,1-391-489-9364,Data_149
STU-36,Data_323,Data_443,1-841-916-5966,Data_971
STU-37,Data_111,Data_525,1-707-334-9342,Data_453
STU-38,Data_484,Data_110,1-368-469-8432,Data_297
STU-39,Data_475,Data_489,1-303-304-9516,Data_675
STU-40,Data_735,Data_185,1-522-907-2211,Data_693
STU-41,Data_328,Data_217,1-336-338-3609,Data_609
STU-42,Data_637,Data_384,1-865-339-9595,Data_300
STU-43,Data_602,Data_494,1-520-680-1020,Data_750
STU-44,Data_294,Data_860,1-590-673-4897,Data_784
STU-45,Data_206,Data_838,1-734-747-7857,Data_745
STU-46,Data_945,Data_588,1-725-763-3993,Data_186
STU-47,Data_759,Data_306,1-243-694-1195,Data_226
STU-48,Data_113,Data_808,1-249-952-3144,Data_569
STU-49,Data_140,Data_640,1-416-476-8359,Data_560
STU-50,Data_654,Data_595,1-903-731-3437,Data_170
STU-51,Data_842,Data_938,1-636-788-9866,Data_951
STU-52,Data_121,Data_415,1-643-675-9503,Data_323
STU-53,Data_732,Data_320,1-745-399-1382,Data_526
STU-54,Data_316,Data_130,1-652-645-2909,Data_290
STU-55,Data_128,Data_616,1-368-710-5901,Data_396
STU-56,Data_414,Data_174,1-856-682-9287,Data_154
STU-57,Data_172,Data_160,1-532-368-6761,Data_217
